title,author,year_approx,period_hint,notes
Sonnet 30: When to the sessions,William Shakespeare,1609,Elizabethan,
Sonnet 55: Not marble,William Shakespeare,1609,Elizabethan,
Sonnet 60: Like as the waves,William Shakespeare,1609,Elizabethan,
Sonnet 65: Since brass,William Shakespeare,1609,Elizabethan,
Sonnet 73: That time of year,William Shakespeare,1609,Elizabethan,
Sonnet 94: They that have power,William Shakespeare,1609,Elizabethan,
Sonnet 106: When in the chronicle,William Shakespeare,1609,Elizabethan,
Sonnet 116: Let me not,William Shakespeare,1609,Elizabethan,
Sonnet 126: O thou my lovely boy,William Shakespeare,1609,Elizabethan,
Sonnet 129: Th' expense of spirit,William Shakespeare,1609,Elizabethan,
Sonnet 130: My mistress' eyes,William Shakespeare,1609,Elizabethan,
Sonnet 138: When my love swears,William Shakespeare,1609,Elizabethan,
Sonnet 144: Two loves I have,William Shakespeare,1609,Elizabethan,
Sonnet 146: Poor soul,William Shakespeare,1609,Elizabethan,
A Hymn to God the Father,John Donne,1633,Jacobean,
Holy Sonnet 1: Thou hast made me,John Donne,1633,Jacobean,
Holy Sonnet 6: This is my play's last scene,John Donne,1633,Jacobean,
Holy Sonnet 7: At the round earth's,John Donne,1633,Jacobean,
Holy Sonnet 10: Death Be Not Proud,John Donne,1633,Jacobean,
Holy Sonnet 14: Batter my heart,John Donne,1633,Jacobean,
"Holy Sonnet 19: Oh, to vex me",John Donne,1633,Jacobean,
"A Hymn to God My God, in My Sickness",John Donne,1635,Jacobean,
Song: Go and Catch a Falling Star,John Donne,1633,Jacobean,
Woman's Constancy,John Donne,1633,Jacobean,
The Apparition,John Donne,1633,Jacobean,
A Nocturnal upon St. Lucy's Day,John Donne,1633,Jacobean,
To the Countess of Bedford,John Donne,1633,Jacobean,
An Anatomy of the World,John Donne,1611,Jacobean,The First Anniversary
Volpone (To My Book),Ben Jonson,1607,Jacobean,
To John Donne,Ben Jonson,1616,Jacobean,
Inviting a Friend to Supper,Ben Jonson,1616,Jacobean,
An Ode to Himself,Ben Jonson,1640,Jacobean,
A Pindaric Ode,Ben Jonson,1629,Jacobean,
The Salve Deus Rex Judaeorum,Aemilia Lanyer,1611,Jacobean,
To the Virtuous Reader,Aemilia Lanyer,1611,Jacobean,
"To the Virgins, to Make Much of Time",Robert Herrick,1648,Caroline,
Delight in Disorder,Robert Herrick,1648,Caroline,
Upon Julia's Clothes,Robert Herrick,1648,Caroline,
Corinna's Going A-Maying,Robert Herrick,1648,Caroline,
"The Night-Piece, to Julia",Robert Herrick,1648,Caroline,
To Daffodils,Robert Herrick,1648,Caroline,
The Argument of His Book,Robert Herrick,1648,Caroline,
Upon a Child That Died,Robert Herrick,1648,Caroline,
Jordan (I),George Herbert,1633,Caroline,
Jordan (II),George Herbert,1633,Caroline,
Affliction (I),George Herbert,1633,Caroline,
The Windows,George Herbert,1633,Caroline,
Prayer (I),George Herbert,1633,Caroline,
The Altar,George Herbert,1633,Caroline,
Redemption,George Herbert,1633,Caroline,
The Agony,George Herbert,1633,Caroline,
The Triple Fool,John Donne,1633,Caroline,
Twicknam Garden,John Donne,1633,Caroline,
Love's Alchemy,John Donne,1633,Caroline,
The Funeral,John Donne,1633,Caroline,
The Blossom,John Donne,1633,Caroline,
The Primrose,John Donne,1633,Caroline,
L'Allegro,John Milton,1645,Caroline,
Il Penseroso,John Milton,1645,Caroline,
Comus,John Milton,1637,Caroline,A Masque
On the Morning of Christ's Nativity,John Milton,1629,Caroline,
The Wish,Abraham Cowley,1647,Interregnum,
Of Myself,Abraham Cowley,1668,Interregnum,
To the Royal Society,Abraham Cowley,1667,Interregnum,
The Grasshopper,Richard Lovelace,1649,Interregnum,
The Scrutiny,Richard Lovelace,1649,Interregnum,
A Rapture,Thomas Carew,1640,Interregnum,
Ask Me No More,Thomas Carew,1640,Interregnum,
To Saxham,Thomas Carew,1640,Interregnum,
The Flaming Heart,Richard Crashaw,1652,Interregnum,
A Hymn to the Name and Honor of the Admirable Saint Teresa,Richard Crashaw,1652,Interregnum,
The Weeper,Richard Crashaw,1648,Interregnum,
In the Holy Nativity,Richard Crashaw,1648,Interregnum,
Annus Mirabilis,John Dryden,1667,Restoration,
All for Love (Prologue),John Dryden,1678,Restoration,
A Song for St. Cecilia's Day,John Dryden,1687,Restoration,
Alexander's Feast,John Dryden,1697,Restoration,
To the Memory of Mrs. Anne Killigrew,John Dryden,1686,Restoration,
The Secular Masque,John Dryden,1700,Restoration,
Religio Laici,John Dryden,1682,Restoration,
The Hind and the Panther,John Dryden,1687,Restoration,
An Essay upon Satire,"John Wilmot, Earl of Rochester",1680,Restoration,
A Letter from Artemisia,"John Wilmot, Earl of Rochester",1679,Restoration,
Upon Nothing,"John Wilmot, Earl of Rochester",1679,Restoration,
The Disabled Debauchee,"John Wilmot, Earl of Rochester",1680,Restoration,
The Imperfect Enjoyment,"John Wilmot, Earl of Rochester",1680,Restoration,
Love and Life,"John Wilmot, Earl of Rochester",1680,Restoration,
The Definition of Love,Andrew Marvell,1681,Restoration,
The Garden,Andrew Marvell,1681,Restoration,
An Horatian Ode upon Cromwell's Return,Andrew Marvell,1681,Restoration,
The Mower to the Glow-Worms,Andrew Marvell,1681,Restoration,
Bermudas,Andrew Marvell,1681,Restoration,
The Picture of Little T.C.,Andrew Marvell,1681,Restoration,
The Coronet,Andrew Marvell,1681,Restoration,
Windsor Forest,Alexander Pope,1713,Augustan,
The Dunciad,Alexander Pope,1728,Augustan,
Epistle to Burlington,Alexander Pope,1731,Augustan,
Epistle II: To a Lady,Alexander Pope,1735,Augustan,
The Universal Prayer,Alexander Pope,1738,Augustan,
Moral Essays,Alexander Pope,1731,Augustan,
Elegy on the Death of a Mad Dog,Oliver Goldsmith,1766,Augustan,
The Traveller,Oliver Goldsmith,1764,Augustan,
Retaliation,Oliver Goldsmith,1774,Augustan,
When Lovely Woman Stoops to Folly,Oliver Goldsmith,1766,Augustan,
The Bard,Thomas Gray,1757,Augustan,
Ode on a Distant Prospect of Eton College,Thomas Gray,1747,Augustan,
Hymn to Adversity,Thomas Gray,1742,Augustan,
The Fatal Sisters,Thomas Gray,1768,Augustan,
London,Samuel Johnson,1738,Augustan,
On the Death of Dr. Robert Levet,Samuel Johnson,1783,Augustan,
A Short Song of Congratulation,Samuel Johnson,1780,Augustan,
The Rape of the Lock (Canto I),Alexander Pope,1712,Augustan,
The Rape of the Lock (Canto II),Alexander Pope,1714,Augustan,
A Description of the Morning,Jonathan Swift,1709,Augustan,
Cadenus and Vanessa,Jonathan Swift,1726,Augustan,
The Lady's Dressing Room,Jonathan Swift,1732,Augustan,
A Beautiful Young Nymph Going to Bed,Jonathan Swift,1734,Augustan,
On Stella's Birthday,Jonathan Swift,1719,Augustan,
The Task,William Cowper,1785,Augustan,
The Castaway,William Cowper,1799,Augustan,
Light Shining Out of Darkness,William Cowper,1779,Augustan,
The Poplar-Field,William Cowper,1784,Augustan,
The Clod and the Pebble,William Blake,1794,Romantic,Songs of Experience
The Garden of Love,William Blake,1794,Romantic,Songs of Experience
Infant Sorrow,William Blake,1794,Romantic,Songs of Experience
Ah! Sun-flower,William Blake,1794,Romantic,Songs of Experience
The Angel,William Blake,1794,Romantic,Songs of Experience
Infant Joy,William Blake,1789,Romantic,Songs of Innocence
The Blossom,William Blake,1789,Romantic,Songs of Innocence
The Ecchoing Green,William Blake,1789,Romantic,Songs of Innocence
The Marriage of Heaven and Hell,William Blake,1793,Romantic,
Auguries of Innocence,William Blake,1803,Romantic,
Jerusalem (And did those feet),William Blake,1808,Romantic,
Nutting,William Wordsworth,1800,Romantic,
Strange Fits of Passion,William Wordsworth,1800,Romantic,
A Slumber Did My Spirit Seal,William Wordsworth,1800,Romantic,
Resolution and Independence,William Wordsworth,1807,Romantic,
The Prelude (Book I),William Wordsworth,1850,Romantic,
Michael,William Wordsworth,1800,Romantic,
Expostulation and Reply,William Wordsworth,1798,Romantic,
The Tables Turned,William Wordsworth,1798,Romantic,
Christabel,Samuel Taylor Coleridge,1816,Romantic,
This Lime-Tree Bower My Prison,Samuel Taylor Coleridge,1800,Romantic,
The Pains of Sleep,Samuel Taylor Coleridge,1816,Romantic,
Work Without Hope,Samuel Taylor Coleridge,1828,Romantic,
On First Looking into Chapman's Homer,John Keats,1816,Romantic,
Sleep and Poetry,John Keats,1817,Romantic,
The Eve of St. Agnes,John Keats,1820,Romantic,
Ode to Psyche,John Keats,1820,Romantic,
Lamia,John Keats,1820,Romantic,
Isabella,John Keats,1820,Romantic,
Hyperion,John Keats,1820,Romantic,
Hymn to Intellectual Beauty,Percy Bysshe Shelley,1817,Romantic,
The Mask of Anarchy,Percy Bysshe Shelley,1832,Romantic,
Epipsychidion,Percy Bysshe Shelley,1821,Romantic,
Alastor,Percy Bysshe Shelley,1816,Romantic,
The Triumph of Life,Percy Bysshe Shelley,1824,Romantic,
The Cloud,Percy Bysshe Shelley,1820,Romantic,
To Night,Percy Bysshe Shelley,1824,Romantic,
Childe Harold's Pilgrimage (Canto I),Lord Byron,1812,Romantic,
Childe Harold's Pilgrimage (Canto III),Lord Byron,1816,Romantic,
Childe Harold's Pilgrimage (Canto IV),Lord Byron,1818,Romantic,
Don Juan (Canto I),Lord Byron,1819,Romantic,
Don Juan (Canto II),Lord Byron,1819,Romantic,
The Vision of Judgment,Lord Byron,1822,Romantic,
Darkness,Lord Byron,1816,Romantic,
Manfred,Lord Byron,1817,Romantic,
Stanzas for Music,Lord Byron,1816,Romantic,
So We'll Go No More A-Roving,Lord Byron,1817,Romantic,
Morte d'Arthur,Alfred Tennyson,1842,Victorian,
Locksley Hall,Alfred Tennyson,1842,Victorian,
The Lotos-Eaters,Alfred Tennyson,1832,Victorian,
Tithonus,Alfred Tennyson,1860,Victorian,
Mariana,Alfred Tennyson,1830,Victorian,
The Palace of Art,Alfred Tennyson,1832,Victorian,
Maud,Alfred Tennyson,1855,Victorian,
The Passing of Arthur,Alfred Tennyson,1869,Victorian,Idylls
The Holy Grail,Alfred Tennyson,1869,Victorian,Idylls
Soliloquy of the Spanish Cloister,Robert Browning,1842,Victorian,
The Bishop Orders His Tomb at Saint Praxed's Church,Robert Browning,1845,Victorian,
Love Among the Ruins,Robert Browning,1855,Victorian,
Childe Roland to the Dark Tower Came,Robert Browning,1855,Victorian,
A Toccata of Galuppi's,Robert Browning,1855,Victorian,
The Pied Piper of Hamelin,Robert Browning,1842,Victorian,
Rabbi Ben Ezra,Robert Browning,1864,Victorian,
Caliban upon Setebos,Robert Browning,1864,Victorian,
Abt Vogler,Robert Browning,1864,Victorian,
Sonnet 1: I thought once,Elizabeth Barrett Browning,1850,Victorian,Sonnets from the Portuguese
Sonnet 14: If thou must love me,Elizabeth Barrett Browning,1850,Victorian,Sonnets from the Portuguese
Sonnet 22: When our two souls,Elizabeth Barrett Browning,1850,Victorian,Sonnets from the Portuguese
Aurora Leigh (Book I),Elizabeth Barrett Browning,1856,Victorian,
Aurora Leigh (Book V),Elizabeth Barrett Browning,1856,Victorian,
Lady Geraldine's Courtship,Elizabeth Barrett Browning,1844,Victorian,
Amor Mundi,Christina Rossetti,1865,Victorian,
Echo,Christina Rossetti,1862,Victorian,
A Triad,Christina Rossetti,1856,Victorian,
Monna Innominata,Christina Rossetti,1881,Victorian,
The Convent Threshold,Christina Rossetti,1862,Victorian,
Winter: My Secret,Christina Rossetti,1862,Victorian,
Thyrsis,Matthew Arnold,1866,Victorian,
Sohrab and Rustum,Matthew Arnold,1853,Victorian,
The Forsaken Merman,Matthew Arnold,1849,Victorian,
Empedocles on Etna,Matthew Arnold,1852,Victorian,
Stanzas from the Grande Chartreuse,Matthew Arnold,1855,Victorian,
Carrion Comfort,Gerard Manley Hopkins,1918,Victorian,
"No Worst, There Is None",Gerard Manley Hopkins,1918,Victorian,
I Wake and Feel the Fell of Dark,Gerard Manley Hopkins,1918,Victorian,
Felix Randal,Gerard Manley Hopkins,1918,Victorian,
The Wreck of the Deutschland,Gerard Manley Hopkins,1918,Victorian,
Harry Ploughman,Gerard Manley Hopkins,1918,Victorian,
That Nature Is a Heraclitean Fire,Gerard Manley Hopkins,1918,Victorian,
Tell all the truth but tell it slant,Emily Dickinson,1945,Victorian,
Much Madness is divinest Sense,Emily Dickinson,1890,Victorian,
"I felt a Funeral, in my Brain",Emily Dickinson,1896,Victorian,
I taste a liquor never brewed,Emily Dickinson,1861,Victorian,
My Life had stood - a Loaded Gun,Emily Dickinson,1929,Victorian,
I cannot live with You,Emily Dickinson,1890,Victorian,
Safe in their Alabaster Chambers,Emily Dickinson,1862,Victorian,
"It was not Death, for I stood up",Emily Dickinson,1891,Victorian,
A Noiseless Patient Spider,Walt Whitman,1868,Victorian,
As I Ebb'd with the Ocean of Life,Walt Whitman,1860,Victorian,
The Sleepers,Walt Whitman,1855,Victorian,
There Was a Child Went Forth,Walt Whitman,1855,Victorian,
Passage to India,Walt Whitman,1871,Victorian,
By Blue Ontario's Shore,Walt Whitman,1856,Victorian,
Portrait of a Lady,T.S. Eliot,1915,Modernist,
Rhapsody on a Windy Night,T.S. Eliot,1917,Modernist,
Sweeney Among the Nightingales,T.S. Eliot,1920,Modernist,
Ash Wednesday,T.S. Eliot,1930,Modernist,
Marina,T.S. Eliot,1930,Modernist,
Four Quartets: Burnt Norton,T.S. Eliot,1936,Modernist,
Four Quartets: East Coker,T.S. Eliot,1940,Modernist,
The Song of Wandering Aengus,William Butler Yeats,1899,Modernist,
Adam's Curse,William Butler Yeats,1904,Modernist,
The Magi,William Butler Yeats,1914,Modernist,
In Memory of Major Robert Gregory,William Butler Yeats,1919,Modernist,
A Prayer for My Daughter,William Butler Yeats,1921,Modernist,
Byzantium,William Butler Yeats,1933,Modernist,
The Circus Animals' Desertion,William Butler Yeats,1939,Modernist,
Home Burial,Robert Frost,1914,Modernist,
The Death of the Hired Man,Robert Frost,1914,Modernist,
"Out, Out—",Robert Frost,1916,Modernist,
The Oven Bird,Robert Frost,1916,Modernist,
Fire and Ice,Robert Frost,1920,Modernist,
Nothing Gold Can Stay,Robert Frost,1923,Modernist,
Directive,Robert Frost,1947,Modernist,
Peter Quince at the Clavier,Wallace Stevens,1923,Modernist,
The Idea of Order at Key West,Wallace Stevens,1936,Modernist,
The Man with the Blue Guitar,Wallace Stevens,1937,Modernist,
Notes Toward a Supreme Fiction,Wallace Stevens,1942,Modernist,
The Auroras of Autumn,Wallace Stevens,1950,Modernist,
Portrait of a Lady,William Carlos Williams,1920,Modernist,
To Elsie,William Carlos Williams,1923,Modernist,
The Yachts,William Carlos Williams,1935,Modernist,
"Asphodel, That Greeny Flower",William Carlos Williams,1955,Modernist,
The Cantos I,Ezra Pound,1917,Modernist,
The Cantos XLV,Ezra Pound,1937,Modernist,
Homage to Sextus Propertius,Ezra Pound,1919,Modernist,
Mauberley,Ezra Pound,1920,Modernist,
Hermes of the Ways,H.D.,1916,Modernist,
Orchard,H.D.,1916,Modernist,
The Walls Do Not Fall,H.D.,1944,Modernist,
Tribute to the Angels,H.D.,1945,Modernist,
An Octopus,Marianne Moore,1924,Modernist,
The Steeple-Jack,Marianne Moore,1932,Modernist,
The Pangolin,Marianne Moore,1936,Modernist,
What Are Years?,Marianne Moore,1941,Modernist,
The Weary Blues,Langston Hughes,1926,Modernist,
Theme for English B,Langston Hughes,1951,Modernist,
Montage of a Dream Deferred,Langston Hughes,1951,Modernist,
The Negro Speaks of Rivers,Langston Hughes,1921,Modernist,
Sunday Morning,Hart Crane,1926,Modernist,
The Bridge,Hart Crane,1930,Modernist,
Voyages,Hart Crane,1926,Modernist,
anyone lived in a pretty how town,E.E. Cummings,1940,Modernist,
i sing of Olaf,E.E. Cummings,1931,Modernist,
somewhere i have never travelled,E.E. Cummings,1931,Modernist,
The Quaker Graveyard in Nantucket,Robert Lowell,1946,Postwar,
Mr. Edwards and the Spider,Robert Lowell,1946,Postwar,
Commander Lowell,Robert Lowell,1959,Postwar,
Dolphin,Robert Lowell,1973,Postwar,
The Map,Elizabeth Bishop,1946,Postwar,
The Man-Moth,Elizabeth Bishop,1946,Postwar,
At the Fishhouses,Elizabeth Bishop,1955,Postwar,
Questions of Travel,Elizabeth Bishop,1965,Postwar,
The End of March,Elizabeth Bishop,1976,Postwar,
Poem,Elizabeth Bishop,1976,Postwar,
The Colossus,Sylvia Plath,1960,Postwar,
The Bee Meeting,Sylvia Plath,1962,Postwar,
Fever 103°,Sylvia Plath,1965,Postwar,
Nick and the Candlestick,Sylvia Plath,1965,Postwar,
Elm,Sylvia Plath,1965,Postwar,
The Abortion,Anne Sexton,1962,Postwar,
With Mercy for the Greedy,Anne Sexton,1962,Postwar,
Unknown Girl in the Maternity Ward,Anne Sexton,1960,Postwar,
The Starry Night,Anne Sexton,1961,Postwar,
Dream Song 1,John Berryman,1964,Postwar,
Dream Song 14,John Berryman,1964,Postwar,
Dream Song 29,John Berryman,1964,Postwar,
A Supermarket in California,Allen Ginsberg,1956,Postwar,
Sunflower Sutra,Allen Ginsberg,1956,Postwar,
Wales Visitation,Allen Ginsberg,1967,Postwar,
The Chicago Defender Sends a Man to Little Rock,Gwendolyn Brooks,1960,Postwar,
The Lovers of the Poor,Gwendolyn Brooks,1960,Postwar,
The Blackstone Rangers,Gwendolyn Brooks,1968,Postwar,
The Heavy Bear,Delmore Schwartz,1938,Postwar,
"In the Naked Bed, in Plato's Cave",Delmore Schwartz,1938,Postwar,
Design,Robert Penn Warren,1960,Postwar,
Audubon,Robert Penn Warren,1969,Postwar,
Storm Warnings,Adrienne Rich,1951,Contemporary,
Snapshots of a Daughter-in-Law,Adrienne Rich,1963,Contemporary,
Orion,Adrienne Rich,1969,Contemporary,
Twenty-One Love Poems,Adrienne Rich,1976,Contemporary,
The Black Walnut Tree,Mary Oliver,1979,Contemporary,
The Ponds,Mary Oliver,1990,Contemporary,
At Blackwater Pond,Mary Oliver,1983,Contemporary,
The Moths,Mary Oliver,1992,Contemporary,
Geometry,Rita Dove,1980,Contemporary,
Adolescence—I,Rita Dove,1980,Contemporary,
Dusting,Rita Dove,1986,Contemporary,
Thomas and Beulah,Rita Dove,1986,Contemporary,
On the Pulse of Morning,Maya Angelou,1993,Contemporary,
Weekend Glory,Maya Angelou,1978,Contemporary,
Marginalia,Billy Collins,1998,Contemporary,
The History Teacher,Billy Collins,1991,Contemporary,
Litany,Billy Collins,2002,Contemporary,
Musée,Louise Glück,1992,Contemporary,
Mock Orange,Louise Glück,1985,Contemporary,
The Wild Iris,Louise Glück,1992,Contemporary,
Litany in Which Certain Things Are Crossed Out,Richard Siken,2005,Contemporary,
Scheherazade,Richard Siken,2005,Contemporary,
Self-Portrait at 28,David Berman,1999,Contemporary,
Snow,David Berman,1999,Contemporary,
